timestamp,x,y
16.234209,546,1625
16.300785,549,1620
16.366734,556,1604
16.431687,559,1587
16.498686,557,1581
16.564819,564,1580
16.631248,568,1573
16.696498,561,1571
16.763133,557,1574
16.828652,552,1566
16.895477,547,1574
16.960820,558,1581
17.025370,564,1571
17.093015,560,1570
17.158976,549,1569
17.224873,549,1576
17.291337,554,1584
17.357564,518,1511
17.422571,510,1392
17.488773,506,1278
17.555005,505,1185
17.620496,500,1088
17.687283,497,1011
17.753276,486,941
17.818971,477,883
17.885035,480,828
17.951688,476,787
18.017065,475,751
18.083274,473,735
18.149493,472,720
18.215212,478,715
18.313309,472,711
18.378769,473,708
18.445270,479,714
18.511027,471,713
18.576970,467,706
18.643411,471,718
18.709833,484,729
18.775285,477,731
18.841139,488,742
18.907294,493,753
18.973781,497,777
19.038828,500,798
19.104518,495,811
19.170879,498,815
19.236522,511,818
19.303020,506,822
19.369348,509,839
19.435066,505,849
19.500952,500,852
19.567562,496,859
19.633882,498,864
19.699983,498,874
19.765616,498,883
19.831683,485,883
19.897772,489,881
19.963768,490,881
20.030090,483,883
20.095170,489,891
20.161516,492,897
20.227577,492,904
20.293792,506,910
20.359202,511,881
20.424448,528,808
20.492078,532,737
20.558359,529,661
20.624131,529,598
20.689901,542,535
20.755713,547,491
20.822153,543,670
20.887299,557,829
20.953660,545,956
21.018865,544,1060
21.085493,539,1129
21.151707,541,1188
21.217689,534,1237
21.283956,542,1277
21.349846,541,1317
21.415555,541,1351
21.481998,535,1383
21.547880,541,1405
21.645476,547,1429
21.711947,551,1447
21.778009,553,1458
21.843891,544,1469
21.909996,548,1474
21.975806,547,1485
22.040479,551,1486
22.108767,550,1490
22.173115,556,1486
22.240392,558,1479
22.306306,550,1463
22.372545,549,1455
22.437622,553,1457
22.509366,547,1444
22.602989,539,1425
22.669485,535,1407
22.735384,550,1393
22.800784,568,1372
22.867338,555,1352
22.933583,554,1344
23.000177,570,1349
23.066195,586,1348
23.132005,602,1344
23.197980,608,1330
23.261995,598,1326
23.329944,579,1320
23.393380,569,1320
23.461798,572,1328
23.528063,560,1325
23.593747,547,1325
23.659979,543,1317
23.725931,535,1313
23.792191,533,1308
23.857751,538,1290
23.923876,535,1288
23.990009,529,1278
24.055738,519,1282
24.122349,522,1294
24.187600,519,1291
24.253464,551,1340
24.320565,563,1383
24.385832,571,1418
24.451937,580,1448
24.518376,572,1477
24.583969,574,1489
24.650013,580,1512
24.715742,588,1537
24.782041,592,1557
24.848455,584,1576
24.946148,584,1578
25.012034,588,1583
25.077774,588,1584
25.143984,577,1593
25.210192,563,1598
25.276358,561,1607
25.341951,562,1617
25.407587,562,1614
25.474000,567,1620
25.540416,560,1628
25.604225,557,1623
25.672232,551,1620
25.737539,552,1616
25.804059,565,1611
25.870176,540,1618
25.936394,526,1618
26.002067,540,1616
26.068730,544,1590
26.133378,541,1435
26.200522,539,1307
26.266758,545,1189
26.332832,537,1046
26.398883,541,923
26.464644,547,813
26.530763,537,698
26.597339,539,602
26.662931,526,528
26.728449,530,452
26.794940,538,382
26.861043,534,323
26.926818,511,233
26.992637,494,152
27.057674,401,93
27.124759,310,29
27.190631,239,-22
27.257285,174,-33
27.321369,149,191
27.388645,136,401
27.455542,134,589
27.521013,164,755
27.586962,220,859
27.652736,261,949
27.718942,305,1028
27.785186,348,1095
27.850917,398,1161
27.917065,438,1216
27.983365,473,1232
28.049255,491,1229
28.115438,507,1223
28.278934,512,1250
28.344924,438,1362
28.408909,357,1467
28.543037,272,1528
28.609165,195,1344
28.675078,78,1168
28.741443,20,1016
28.807584,0,895
28.872750,-32,809
28.939385,-52,739
29.004660,-63,679
29.071011,-80,600
29.137080,-81,531
29.203401,-78,477
29.268772,40,440
29.333804,150,412
29.401797,251,393
29.467281,362,536
29.534289,407,649
29.599864,442,745
29.665864,475,827
29.731757,527,865
